2026-02-08 12:58:19.960963,70962.66
2026-02-08 12:58:47.462166,70962.06
2026-02-08 12:58:57.598977,70962.06
2026-02-08 12:59:03.068414,70962.06
2026-02-08 13:05:56.706336,70915.55
2026-02-08 13:06:56.894035,70875.15
2026-02-08 13:07:57.049044,70875.15
2026-02-08 13:08:57.197998,70955.64
2026-02-08 13:09:57.350714,70955.64
2026-02-08 13:10:57.530493,70955.64
2026-02-08 13:11:57.702381,70856.63
2026-02-08 13:12:57.853779,70859.06
2026-02-08 13:13:58.055971,70859.06
2026-02-08 13:14:58.217393,70896.86
2026-02-08 13:15:58.365435,70896.86
2026-02-08 14:05:22.495904,71188.56
2026-02-09 12:24:17.524793,68642.66
2026-02-09 12:25:17.694122,68752.29
2026-02-09 13:33:56.821173,68893.90
2026-02-09 13:34:57.000112,68972.47
2026-02-09 13:35:57.188365,68962.71
2026-02-09 13:36:57.323470,68917.22
2026-02-09 13:37:57.473701,68966.62
2026-02-09 13:38:57.629952,68966.62
2026-02-09 13:39:57.778808,69102.64
2026-02-09 13:40:57.931744,69030.28
2026-02-09 13:41:58.123549,69016.71
2026-02-09 13:42:58.274319,69033.10
2026-02-14 20:59:14.818660,69850.71
